Date,SP500,Dividend,CPI,LTIR,Consumption
1959-01-01,55.62,1.76,29,4.02,306.1
1959-02-01,54.77,1.76,28.9,3.96,309.6
1959-03-01,56.16,1.77,28.9,3.99,312.7
1959-04-01,57.1,1.78,29,4.12,312.2
1959-05-01,57.96,1.78,29,4.31,316.1
1959-06-01,57.46,1.79,29.1,4.34,318.2
1959-07-01,59.74,1.8,29.2,4.4,317.8
1959-08-01,59.4,1.8,29.2,4.43,320.2
1959-09-01,57.05,1.81,29.3,4.68,324.2
1959-10-01,57,1.82,29.4,4.53,322.8
1959-11-01,57.23,1.82,29.4,4.53,322.9
1959-12-01,59.06,1.83,29.4,4.69,322.9
1960-01-01,58.03,1.87,29.3,4.72,323.6
1960-02-01,55.78,1.9,29.4,4.49,325.3
1960-03-01,55.02,1.94,29.4,4.25,330.2
1960-04-01,55.73,1.94,29.5,4.28,336.5
1960-05-01,55.22,1.95,29.5,4.35,330.0
1960-06-01,57.26,1.95,29.6,4.15,330.1
1960-07-01,55.84,1.95,29.6,3.9,331.4
1960-08-01,56.51,1.95,29.6,3.8,331.6
1960-09-01,54.81,1.95,29.6,3.8,333.4
1960-10-01,53.73,1.95,29.8,3.89,335.4
1960-11-01,55.47,1.95,29.8,3.93,335.4
1960-12-01,56.8,1.95,29.8,3.84,331.3
1961-01-01,59.72,1.95,29.8,3.84,332.2
1961-02-01,62.17,1.94,29.8,3.78,333.7
1961-03-01,64.12,1.94,29.8,3.74,337.7
1961-04-01,65.83,1.94,29.8,3.78,337.6
1961-05-01,66.5,1.94,29.8,3.71,339.9
1961-06-01,65.62,1.94,29.8,3.88,340.9
1961-07-01,65.44,1.95,30,3.92,340.6
1961-08-01,67.79,1.95,29.9,4.04,342.1
1961-09-01,67.26,1.96,30,3.98,344.4
1961-10-01,68,1.98,30,3.92,346.5
1961-11-01,71.08,2,30,3.94,349.9
1961-12-01,71.74,2.02,30,4.06,352.4
1962-01-01,69.07,2.03,30,4.08,353.2
1962-02-01,70.22,2.03,30.1,4.04,354.0
1962-03-01,70.29,2.04,30.1,3.93,357.4
1962-04-01,68.05,2.05,30.2,3.84,359.0
1962-05-01,62.99,2.05,30.2,3.87,362.0
1962-06-01,55.63,2.06,30.2,3.91,360.4
1962-07-01,56.97,2.07,30.3,4.01,361.4
1962-08-01,58.52,2.07,30.3,3.98,362.9
1962-09-01,58,2.08,30.4,3.98,368.8
1962-10-01,56.17,2.1,30.4,3.93,366.5
1962-11-01,60.04,2.11,30.4,3.92,371.7
1962-12-01,62.64,2.13,30.4,3.86,373.6
1963-01-01,65.06,2.14,30.4,3.83,374.4
1963-02-01,65.92,2.14,30.4,3.92,373.4
1963-03-01,65.67,2.15,30.5,3.93,375.0
1963-04-01,68.76,2.17,30.5,3.97,376.4
1963-05-01,70.14,2.18,30.5,3.93,377.2
1963-06-01,70.11,2.2,30.6,3.99,381.7
1963-07-01,69.07,2.2,30.7,4.02,384.4
1963-08-01,70.98,2.21,30.7,4,386.3
1963-09-01,72.85,2.21,30.7,4.08,385.5
1963-10-01,73.03,2.23,30.8,4.11,386.0
1963-11-01,72.62,2.26,30.8,4.12,389.4
1963-12-01,74.17,2.28,30.9,4.13,394.7
1964-01-01,76.45,2.3,30.9,4.17,396.8
1964-02-01,77.39,2.31,30.9,4.15,400.2
1964-03-01,78.8,2.33,30.9,4.22,401.8
1964-04-01,79.94,2.35,30.9,4.23,402.8
1964-05-01,80.72,2.36,30.9,4.2,408.4
1964-06-01,80.24,2.38,31,4.17,411.4
1964-07-01,83.22,2.4,31.1,4.19,414.9
1964-08-01,82,2.42,31,4.19,417.7
1964-09-01,83.41,2.44,31.1,4.2,416.6
1964-10-01,84.85,2.46,31.1,4.19,419.6
1964-11-01,85.44,2.48,31.2,4.15,416.4
1964-12-01,83.96,2.5,31.2,4.18,421.0
1965-01-01,86.12,2.52,31.2,4.19,424.4
1965-02-01,86.75,2.53,31.2,4.21,431.4
1965-03-01,86.83,2.55,31.3,4.21,433.3
1965-04-01,87.97,2.57,31.4,4.2,437.1
1965-05-01,89.28,2.59,31.4,4.21,437.6
1965-06-01,85.04,2.61,31.6,4.21,435.2
1965-07-01,84.91,2.63,31.6,4.2,441.0
1965-08-01,86.49,2.64,31.6,4.25,444.4
1965-09-01,89.38,2.66,31.6,4.29,452.0
1965-10-01,91.39,2.68,31.7,4.35,458.5
1965-11-01,92.15,2.7,31.7,4.45,459.1
1965-12-01,91.73,2.72,31.8,4.62,461.7
1966-01-01,93.32,2.74,31.8,4.61,465.2
1966-02-01,92.69,2.76,32,4.83,470.2
1966-03-01,88.88,2.78,32.1,4.87,475.0
1966-04-01,91.6,2.8,32.3,4.75,476.9
1966-05-01,86.78,2.81,32.3,4.78,473.1
1966-06-01,86.06,2.83,32.4,4.81,475.5
1966-07-01,85.84,2.85,32.5,5.02,480.6
1966-08-01,80.65,2.87,32.7,5.22,483.2
1966-09-01,77.81,2.89,32.7,5.18,489.2
1966-10-01,77.13,2.88,32.9,5.01,488.3
1966-11-01,80.99,2.88,32.9,5.16,490.1
1966-12-01,81.33,2.87,32.9,4.84,491.8
1967-01-01,84.45,2.88,32.9,4.58,494.2
1967-02-01,87.36,2.89,32.9,4.63,493.0
1967-03-01,89.42,2.9,33,4.54,495.8
1967-04-01,90.96,2.9,33.1,4.59,501.3
1967-05-01,92.59,2.9,33.2,4.85,502.2
1967-06-01,91.43,2.9,33.3,5.02,506.8
1967-07-01,93.01,2.91,33.4,5.16,506.7
1967-08-01,94.49,2.91,33.5,5.28,509.8
1967-09-01,95.81,2.92,33.6,5.3,515.6
1967-10-01,95.66,2.92,33.7,5.48,512.2
1967-11-01,92.66,2.92,33.8,5.75,517.4
1967-12-01,95.3,2.92,33.9,5.7,525.1
1968-01-01,95.04,2.93,34.1,5.53,530.9
1968-02-01,90.75,2.94,34.2,5.56,533.6
1968-03-01,89.09,2.95,34.3,5.74,544.3
1968-04-01,95.67,2.96,34.4,5.64,544.0
